ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	gene_biotype	Meiotic	Orthos
ENSOARG00000019765	TEP1	7	23874336	23908216	protein_coding	yes	TEP1
ENSOARG00000019777	PARP2	7	23909789	23927859	protein_coding	no	PARP2
ENSOARG00000019782	CCNB1IP1	7	23946971	23951850	protein_coding	yes	CCNB1IP1
ENSOARG00000019785	TTC5	7	23956098	23972223	protein_coding	no	TTC5
ENSOARG00000013184	OR11H4	7	23994539	23995510	protein_coding	no	OR11H4, OLFR747, OLFR749, OLR1633, LOC103693822, OLR1635, OLR1631, OLR1632
ENSOARG00000013195	OR11H7	7	24029371	24030327	protein_coding	no	OR11H7, OLFR746, OLFR748, OLR1622
ENSOARG00000019789	OR11H6	7	24034842	24036234	protein_coding	no	OR11H6, OLFR745, OLR1621
ENSOARG00000019796		7	24056092	24257050	protein_coding	no	NA
ENSOARG00000013263		7	24057571	24058041	protein_coding	no	RNASE6, LOC103694852
ENSOARG00000019798		7	24140006	24141309	protein_coding	no	NA
ENSOARG00000013323		7	24181744	24183136	protein_coding	no	NA
ENSOARG00000019805		7	24197754	24198716	protein_coding	no	NA
ENSOARG00000013393		7	24274450	24275732	protein_coding	no	OR11H1, OR11H12, OR11H2
ENSOARG00000013459		7	24284370	24285376	protein_coding	no	OLFR1290, OLFR1294, OLFR1295, OLFR1297, OLFR1298, OLFR1300-PS1, OLFR1299, OLFR1301, OLFR1302, OLR768, OLR773, OLR769, OLR770, OLR760, OLR772, OLR775, OLR766, OLR771, OLR767
ENSOARG00000013471	OR4Q3	7	24315800	24316738	protein_coding	no	OR4Q3, OLFR735
ENSOARG00000013537		7	24330199	24331128	protein_coding	no	NA
ENSOARG00000013604		7	24358192	24359115	protein_coding	no	AC135068.3, LINC02203, AC134980.3, OR4N4, AC171558.1, OLFR732, OLFR733, OLR1611
ENSOARG00000013668		7	24374774	24375700	protein_coding	no	AC135068.3, LINC02203, AC134980.3, OR4N4, AC171558.1, OLFR732, OLFR733, OLR1611
ENSOARG00000013774	OR4N2	7	24383971	24384891	protein_coding	no	OR4N2
ENSOARG00000013857		7	24396016	24396972	protein_coding	no	OLFR731, OLR1609
ENSOARG00000013871	OR4K2	7	24421859	24422791	protein_coding	no	OR4K2, OLFR730, OLR1608
ENSOARG00000019809		7	24441604	24453141	protein_coding	no	NA
ENSOARG00000013953	OR4K5	7	24465500	24466468	protein_coding	no	OR4K5, OLFR729, OLR1630
ENSOARG00000019812	OR4K1	7	24473979	24476846	protein_coding	no	OR4K1, OLFR728
ENSOARG00000014050	OR4K15	7	24507711	24508646	protein_coding	no	OR4K15, OLFR725, OLFR726, OLFR727, OLR1626, OLR1627
ENSOARG00000014067		7	24527279	24528307	protein_coding	no	NA
ENSOARG00000014154	OR4Q2	7	24542259	24543170	protein_coding	no	OR4Q2
ENSOARG00000014167	OR4K14	7	24552028	24553026	protein_coding	no	OR4K14
ENSOARG00000019819	OR4K13	7	24575575	24576888	protein_coding	no	NA
ENSOARG00000019822		7	24600962	24603100	protein_coding	no	NA
ENSOARG00000019827		7	24627333	24649970	protein_coding	no	OR4L1, OLFR723, OLFR724, OLR1625
ENSOARG00000014256		7	24656261	24657202	protein_coding	no	NA
ENSOARG00000000643		7	24692680	24693582	protein_coding	no	OLFR1277, OLR750
ENSOARG00000000652		7	24697371	24698294	protein_coding	no	OLFR1275, OLFR1276, OLFR1278, LOC691368, OLR747, OLR749, OLR748
ENSOARG00000019831		7	24718927	24719865	protein_coding	no	OLFR1275, OLFR1276, OLFR1278, LOC691368, OLR747, OLR749, OLR748
ENSOARG00000019833		7	24737226	24738983	protein_coding	no	OLFR1284, OLFR1279, OLR757, OLR752
ENSOARG00000000661		7	24840214	24841149	protein_coding	no	OLFR1288, OLR758
ENSOARG00000000672		7	24846155	24847072	protein_coding	no	OR4F5, OR4F4, OR4F17, OLFR1289, OLFR1291-PS1, OLFR1293-PS, OLR763, AC121203.1, OLR765, AC121203.2
ENSOARG00000000682		7	24880012	24880947	protein_coding	no	OR4F21, OR4F29, OR4F16, OR4F3, OLFR1303, OLR776, OLR777, OLR774
ENSOARG00000000693		7	24902230	24903165	protein_coding	no	OR4F21, OR4F29, OR4F16, OR4F3, OLFR1303, OLR776, OLR777, OLR774
ENSOARG00000000702		7	24929634	24930566	protein_coding	no	OLFR1311, OLR784, LOC100909573
ENSOARG00000019838		7	24971107	24973102	protein_coding	no	OLFR1305, OLR778
ENSOARG00000019842		7	24999205	25001863	protein_coding	no	OR4F15, OLFR1309, OLR782
ENSOARG00000019846		7	25018237	25019457	protein_coding	no	OLFR1306, OLFR1307, OLFR1308, OLFR1312, OLFR1313, OLFR1314, OLFR1315-PS1, OLFR1316, OLR781, OLR788, OLR779, OLR796, OLR791, AC107088.1, OLR790, OLR780, LOC100909692, OLR785, OLR789
ENSOARG00000000713		7	25034849	25035784	protein_coding	no	OLFR1306, OLFR1307, OLFR1308, OLFR1312, OLFR1313, OLFR1314, OLFR1315-PS1, OLFR1316, OLR781, OLR788, OLR779, OLR796, OLR791, AC107088.1, OLR790, OLR780, LOC100909692, OLR785, OLR789
ENSOARG00000019850		7	25055731	25112579	protein_coding	no	LOC100909613, OLR786
ENSOARG00000019853		7	25087233	25088353	protein_coding	no	LOC100909613, OLR786
ENSOARG00000000723		7	25137864	25138799	protein_coding	no	OLFR1311, OLR784, LOC100909573
ENSOARG00000019856		7	25147983	25157854	protein_coding	no	OLFR1317, OLFR1318, LOC502660, OLR792
ENSOARG00000019861		7	25167333	25168919	protein_coding	no	OLFR1317, OLFR1318, LOC502660, OLR792
ENSOARG00000019865		7	25194476	25196145	protein_coding	no	NA
ENSOARG00000019872	LPCAT4	7	25263546	25270541	protein_coding	no	LPCAT4
ENSOARG00000019878	NUTM1	7	25271792	25281963	protein_coding	no	NUTM1
ENSOARG00000019881	NOP10	7	25283680	25284429	protein_coding	no	NOP10
ENSOARG00000019890	SLC12A6	7	25288802	25376206	protein_coding	no	SLC12A6, GM21985
ENSOARG00000019895	EMC4	7	25379333	25382479	protein_coding	no	EMC4
ENSOARG00000019901		7	25432449	25446899	protein_coding	yes	KATNBL1, NEWGENE_1582771
ENSOARG00000019905	EMC7	7	25488301	25504670	protein_coding	no	EMC7
ENSOARG00000000740	CHRM5	7	25517829	25519427	protein_coding	no	CHRM5
ENSOARG00000019911		7	25707944	25718742	protein_coding	no	AVEN
ENSOARG00000019941	RYR3	7	25720183	26191936	protein_coding	no	RYR3
